had1,z1,pt,mins,maxx,fit_line
300.0,0.45,0.825,-0.02460050755409841,-0.002761032089340964,-0.011029143506603974
300.0,0.45,0.8999999999999999,-0.01825053720545095,-0.0011769848752669406,-0.006583136121673068
300.0,0.45,0.975,-0.01300227378549321,-0.00045915344135726206,-0.0037027443797761164
300.0,0.45,1.05,-0.008904797785419392,-0.00016408971886473645,-0.001964551905922162
300.0,0.6,0.0,-0.0,-0.0,-0.0
300.0,0.6,0.075,-0.06665991475279974,-0.02818899829583463,-0.04378656525770632
300.0,0.6,0.15,-0.11857784175822338,-0.053479256587133074,-0.08094878408540711
300.0,0.6,0.22499999999999998,-0.1478633541754333,-0.0734631407021673,-0.10650435013036662
300.0,0.6,0.3,-0.15307949084698527,-0.0862897816187034,-0.1181947386054756
300.0,0.6,0.375,-0.14020998563027115,-0.08967370218149624,-0.11668808750516373
300.0,0.6,0.44999999999999996,-0.12364367470591808,-0.08327566340444303,-0.10494274877171106
300.0,0.6,0.525,-0.10781666372160574,-0.06294278454660553,-0.08707033109203687
300.0,0.6,0.6,-0.09206394639212825,-0.03945422690361308,-0.06715207189463071
300.0,0.6,0.6749999999999999,-0.07788782247410717,-0.02242887909479946,-0.048376619424065216
300.0,0.6,0.75,-0.06293511488520324,-0.011516399140786214,-0.03266200848770224
300.0,0.6,0.825,-0.04868444402259563,-0.005371632245089982,-0.020716279224329514
300.0,0.6,0.8999999999999999,-0.036117842487890045,-0.0022898429657426393,-0.012365247218579503
300.0,0.6,0.975,-0.025731520737296672,-0.000893290389691708,-0.006954944998388004
300.0,0.6,1.05,-0.017622609141841026,-0.0003192391817336531,-0.00369006041216194
310.0,0.25,0.0,-0.0,-0.0,-0.0
310.0,0.25,0.075,-0.008189132164760861,-0.0029861795335805767,-0.005177511527516919
310.0,0.25,0.15,-0.014686734624691698,-0.005614842632305234,-0.009571731883375135
310.0,0.25,0.22499999999999998,-0.018370125624486488,-0.007563228568570963,-0.012593531766769979
310.0,0.25,0.3,-0.019662579802172814,-0.008635422462292555,-0.013975853507121038
310.0,0.25,0.375,-0.019036007790154418,-0.008574104036141358,-0.0137977006103615
310.0,0.25,0.44999999999999996,-0.017561978798607124,-0.007521379996681917,-0.0124088813154674
310.0,0.25,0.525,-0.015480948006629967,-0.005851790728929399,-0.01029556989182646
310.0,0.25,0.6,-0.013252992042398852,-0.003699718213246762,-0.007940349380793335
310.0,0.25,0.6749999999999999,-0.010894419081486025,-0.0021277836752411528,-0.005720259245187414
310.0,0.25,0.75,-0.008524488268492683,-0.0011168880756302708,-0.003862096158071482
310.0,0.25,0.825,-0.0064615892279716765,-0.0005363464606519556,-0.00244958182629655
310.0,0.25,0.8999999999999999,-0.004759977075722757,-0.0002360453493026633,-0.0014621199365146443
310.0,0.25,0.975,-0.003365238360893841,-9.533171613168765e-05,-0.0008223825662156154
310.0,0.25,1.05,-0.0022857108338603547,-3.410207461174122e-05,-0.00043632859094468006
310.0,0.35,0.0,-0.0,-0.0,-0.0
310.0,0.35,0.075,-0.016294218449511524,-0.006914333671262212,-0.010679480374839715
310.0,0.35,0.15,-0.02901037776148157,-0.013114174994148789,-0.019743292170081656
310.0,0.35,0.22499999999999998,-0.03615229681623556,-0.01800666598346993,-0.025976258022479312
310.0,0.35,0.3,-0.037431267538171754,-0.021213559688402595,-0.028827526980420837
310.0,0.35,0.375,-0.03501620217208558,-0.02215425236868248,-0.02846005694108772
310.0,0.35,0.44999999999999996,-0.03118430456162896,-0.019878946569803026,-0.02559538569406232
310.0,0.35,0.525,-0.027469826957458594,-0.01416786255095212,-0.021236328692498894
310.0,0.35,0.6,-0.023043103020126153,-0.00877306193082676,-0.016378293883243508
310.0,0.35,0.6749999999999999,-0.019011093888347857,-0.004928021787953726,-0.011798987993228524
310.0,0.35,0.75,-0.015024681570515994,-0.002519492094334595,-0.007966216957057942
310.0,0.35,0.825,-0.011477649314477608,-0.0011751750533937346,-0.0050526707476099475
310.0,0.35,0.8999999999999999,-0.008462101720808217,-0.0005009587787752206,-0.0030158660361609413
310.0,0.35,0.975,-0.0060136899704285275,-0.00019542897456571468,-0.001696301095580957
310.0,0.35,1.05,-0.0041185637231095605,-6.984132668094324e-05,-0.0009000004344191095
310.0,0.45,0.0,-0.0,-0.0,-0.0
310.0,0.45,0.075,-0.03527446995665817,-0.015852204828582073,-0.023311537108524988
310.0,0.45,0.15,-0.06270562836045367,-0.03013081804100557,-0.04309633726671062
310.0,0.45,0.22499999999999998,-0.07728428078262008,-0.04151265624555089,-0.05670186952712434
310.0,0.45,0.3,-0.0783469515376541,-0.04885479218516218,-0.06292571748474905
310.0,0.45,0.375,-0.07177973784762948,-0.0515045787499346,-0.06212359124287994
310.0,0.45,0.44999999999999996,-0.06357893539386061,-0.04705591315625315,-0.055870488307639105
310.0,0.45,0.525,-0.055000360282862225,-0.03328689034674797,-0.04635538874441277
310.0,0.45,0.6,-0.047006885703796554,-0.020611997712882545,-0.03575110325901875
310.0,0.45,0.6749999999999999,-0.03939730588305593,-0.01157821233034031,-0.02575523684609194
310.0,0.45,0.75,-0.031801447058385224,-0.005919457276777295,-0.01738893239099233
310.0,0.45,0.825,-0.02460050755409841,-0.002761032089340964,-0.011029143506603974
310.0,0.45,0.8999999999999999,-0.01825053720545095,-0.0011769848752669406,-0.006583136121673068
310.0,0.45,0.975,-0.01300227378549321,-0.00045915344135726206,-0.0037027443797761164
310.0,0.45,1.05,-0.008904797785419392,-0.00016408971886473645,-0.001964551905922162
310.0,0.6,0.0,-0.0,-0.0,-0.0
310.0,0.6,0.075,-0.06665991475279974,-0.02818899829583463,-0.04378656525770632
310.0,0.6,0.15,-0.11857784175822338,-0.053479256587133074,-0.08094878408540711
310.0,0.6,0.22499999999999998,-0.1478633541754333,-0.0734631407021673,-0.10650435013036662
310.0,0.6,0.3,-0.15307949084698527,-0.0862897816187034,-0.1181947386054756
310.0,0.6,0.375,-0.14020998563027115,-0.08967370218149624,-0.11668808750516373
310.0,0.6,0.44999999999999996,-0.12364367470591808,-0.08327566340444303,-0.10494274877171106
310.0,0.6,0.525,-0.10781666372160574,-0.06294278454660553,-0.08707033109203687
310.0,0.6,0.6,-0.09206394639212825,-0.03945422690361308,-0.06715207189463071
310.0,0.6,0.6749999999999999,-0.07788782247410717,-0.02242887909479946,-0.048376619424065216
310.0,0.6,0.75,-0.06293511488520324,-0.011516399140786214,-0.03266200848770224
310.0,0.6,0.825,-0.04868444402259563,-0.005371632245089982,-0.020716279224329514
310.0,0.6,0.8999999999999999,-0.036117842487890045,-0.0022898429657426393,-0.012365247218579503
310.0,0.6,0.975,-0.025731520737296672,-0.000893290389691708,-0.006954944998388004
310.0,0.6,1.05,-0.017622609141841026,-0.0003192391817336531,-0.00369006041216194
