Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
70,300.0,105.0,0.6,0.15,-0.0004886176021394609,-0.0007822304418328047,-0.0002308816483833759
71,300.0,105.0,0.6,0.222,-0.0161807976281607,-0.018462237859410393,-0.013178170090392717
72,300.0,105.0,0.6,0.294,-0.026579854402977394,-0.030141553782542355,-0.02172831214363216
73,300.0,105.0,0.6,0.367,-0.03414003310161157,-0.03860775916910544,-0.028015412833066026
74,300.0,105.0,0.6,0.439,-0.040436283055867814,-0.04582201667116112,-0.033298552185319234
75,300.0,105.0,0.6,0.511,-0.04682609473073281,-0.05286216318685136,-0.038728666123576685
76,300.0,105.0,0.6,0.583,-0.053443433254503174,-0.06030789136627558,-0.04447135707158354
77,300.0,105.0,0.6,0.656,-0.06019691354681803,-0.06791144996825386,-0.050512863306422205
78,300.0,105.0,0.6,0.728,-0.06584065568396708,-0.07426554207093324,-0.0559195801025962
79,300.0,105.0,0.6,0.8,-0.06964886541313081,-0.0785608409967414,-0.05939592970632545
80,310.0,100.0,0.25,0.15,-0.0020108079364529615,-0.003476206061265211,-0.00044300089641522344
81,310.0,100.0,0.25,0.222,0.0007070035430683915,-0.0032538576286582233,0.004399661145186736
82,310.0,100.0,0.25,0.294,0.007121246926734048,0.0013065160797854636,0.013457152550812769
83,310.0,100.0,0.25,0.367,0.015202791284786982,0.007901195866003996,0.024265826651354586
84,310.0,100.0,0.25,0.439,0.02491377460567257,0.015842039140667962,0.03687938541084266
85,310.0,100.0,0.25,0.511,0.03737044756321947,0.026309084061500024,0.052718174427549225
86,310.0,100.0,0.25,0.583,0.05322898505788007,0.03988936412338619,0.0725615719981096
87,310.0,100.0,0.25,0.656,0.0719185936126069,0.05610309901229362,0.09567110378253568
88,310.0,100.0,0.25,0.728,0.09230648509532408,0.07370580701704249,0.12063478111933426
89,310.0,100.0,0.25,0.8,0.11040631188792562,0.08891459921118547,0.14265864189661087
90,310.0,100.0,0.35,0.15,-0.0007932677232669457,-0.0013263262386644294,-0.0004463647840074989
91,310.0,100.0,0.35,0.222,-0.004835116305114453,-0.0071826320783548395,-0.0022592108924051743
92,310.0,100.0,0.35,0.294,-0.004523955267893835,-0.008449984233332515,0.000296292020370131
93,310.0,100.0,0.35,0.367,-0.0016373578111094653,-0.007459890363496621,0.0050497531640518395
94,310.0,100.0,0.35,0.439,0.0029310330432418437,-0.0048962115811568615,0.011533305177971576
95,310.0,100.0,0.35,0.511,0.009721762919520628,-0.00031815161560287615,0.020455628085777174
96,310.0,100.0,0.35,0.583,0.019287683586023393,0.006575198128016405,0.03249671195053885
97,310.0,100.0,0.35,0.656,0.031430958889668216,0.015707145348991362,0.047213615772711166
98,310.0,100.0,0.35,0.728,0.04537371873373762,0.026676012150587333,0.06400561217363591
99,310.0,100.0,0.35,0.8,0.05840526917152435,0.037038018236278704,0.07939022037161278
100,310.0,100.0,0.45,0.15,-0.0006590765684167621,-0.0010786243049862355,-0.0003085296652906384
101,310.0,100.0,0.45,0.222,-0.01270478221770803,-0.015265164366055671,-0.010270131303515919
102,310.0,100.0,0.45,0.294,-0.02040422158274292,-0.024922187463682813,-0.016110661049128637
103,310.0,100.0,0.45,0.367,-0.025652422299789254,-0.03189991619776848,-0.01948456037491368
104,310.0,100.0,0.45,0.439,-0.029635133083508278,-0.03761538907514572,-0.02141533114201534
105,310.0,100.0,0.45,0.511,-0.03302708874090579,-0.04306127107966924,-0.022226000325722146
106,310.0,100.0,0.45,0.583,-0.03537353641403905,-0.04784112229796041,-0.02151339790674384
107,310.0,100.0,0.45,0.656,-0.036404714097708436,-0.05173764871924465,-0.018647318178105773
108,310.0,100.0,0.45,0.728,-0.035186292403067886,-0.05354114814579759,-0.013183975702269998
109,310.0,100.0,0.45,0.8,-0.032412107232095325,-0.053419253401590844,-0.006518238362728797
110,310.0,100.0,0.6,0.15,-0.0004886176021394609,-0.0007822304418328047,-0.0002308816483833759
111,310.0,100.0,0.6,0.222,-0.0161807976281607,-0.018462237859410393,-0.013178170090392717
112,310.0,100.0,0.6,0.294,-0.026579854402977394,-0.030141553782542355,-0.02172831214363216
113,310.0,100.0,0.6,0.367,-0.03414003310161157,-0.03860775916910544,-0.028015412833066026
114,310.0,100.0,0.6,0.439,-0.040436283055867814,-0.04582201667116112,-0.033298552185319234
115,310.0,100.0,0.6,0.511,-0.04682609473073281,-0.05286216318685136,-0.038728666123576685
116,310.0,100.0,0.6,0.583,-0.053443433254503174,-0.06030789136627558,-0.04447135707158354
117,310.0,100.0,0.6,0.656,-0.06019691354681803,-0.06791144996825386,-0.050512863306422205
118,310.0,100.0,0.6,0.728,-0.06584065568396708,-0.07426554207093324,-0.0559195801025962
119,310.0,100.0,0.6,0.8,-0.06964886541313081,-0.0785608409967414,-0.05939592970632545
120,310.0,105.0,0.25,0.15,-0.008222818642383866,-0.010556905483705477,-0.005815571036343797
121,310.0,105.0,0.25,0.222,-0.023841505819185482,-0.027610281922258742,-0.020074026164490544
122,310.0,105.0,0.25,0.294,-0.03867076349344004,-0.04339413655088082,-0.033508548360611255
123,310.0,105.0,0.25,0.367,-0.052575435034790875,-0.059672608930041615,-0.04523480639937897
124,310.0,105.0,0.25,0.439,-0.06696274356350496,-0.07638511024795065,-0.057292815709022143
125,310.0,105.0,0.25,0.511,-0.08379262851660425,-0.09572903206534161,-0.07142811417270721
126,310.0,105.0,0.25,0.583,-0.10381528934397541,-0.11864741368402985,-0.08835392972143603
127,310.0,105.0,0.25,0.656,-0.12636181782177242,-0.14437097642208002,-0.1074489287027104
128,310.0,105.0,0.25,0.728,-0.15001875580586096,-0.1718926035558223,-0.1274669971249186
129,310.0,105.0,0.25,0.8,-0.17062014655587554,-0.19623196165328718,-0.1448870374358222
130,310.0,105.0,0.35,0.15,-0.0015560684240430687,-0.002361883336673081,-0.0008914447382087509
131,310.0,105.0,0.35,0.222,-0.016298926101154954,-0.019299778950908727,-0.013479733653660144
132,310.0,105.0,0.35,0.294,-0.0299477241163988,-0.034590719336844655,-0.02498162155816514
133,310.0,105.0,0.35,0.367,-0.04248321212943055,-0.04844162559492817,-0.03546675134700188
134,310.0,105.0,0.35,0.439,-0.05517397990993663,-0.062393482077732494,-0.04595795556897002
135,310.0,105.0,0.35,0.511,-0.0698010192151001,-0.07842806912432407,-0.0578881542456681
136,310.0,105.0,0.35,0.583,-0.08716877807833981,-0.09852419365518711,-0.07213334716657807
137,310.0,105.0,0.35,0.656,-0.10723316458887601,-0.12180281198878064,-0.08807421515577588
138,310.0,105.0,0.35,0.728,-0.12863921859264002,-0.14647621499494884,-0.1051802564341201
139,310.0,105.0,0.35,0.8,-0.1472424071958401,-0.16890981054288653,-0.12043573482633801
140,310.0,105.0,0.45,0.15,-0.000723259776837476,-0.001182909100362097,-0.0003326063100895591
141,310.0,105.0,0.45,0.222,-0.015016771509294662,-0.017538714189000222,-0.012721617270204367
142,310.0,105.0,0.45,0.294,-0.025937834819080637,-0.030079403765277058,-0.021987050783542128
143,310.0,105.0,0.45,0.367,-0.034989333296522644,-0.040449717928560634,-0.02964954844279214
144,310.0,105.0,0.45,0.439,-0.04362858514945771,-0.050326025579656944,-0.036944587948460214
145,310.0,105.0,0.45,0.511,-0.05328734031958586,-0.06160546938040856,-0.04507690064458492
146,310.0,105.0,0.45,0.583,-0.06481149857516906,-0.07463113134811619,-0.05477855494232942
147,310.0,105.0,0.45,0.656,-0.07806434893512704,-0.0898444984127255,-0.06594539602214038
148,310.0,105.0,0.45,0.728,-0.09199752547328567,-0.10627536154306097,-0.07772065252355774
149,310.0,105.0,0.45,0.8,-0.10434217866762549,-0.12131955803099478,-0.08803978776299652
150,310.0,105.0,0.6,0.15,-0.0004859936841416932,-0.0007635295553546771,-0.00022906549431858336
151,310.0,105.0,0.6,0.222,-0.016197974899544755,-0.018500276448575863,-0.013194874319686854
152,310.0,105.0,0.6,0.294,-0.026667630780881676,-0.03024153961009619,-0.021805104854369504
153,310.0,105.0,0.6,0.367,-0.034330681857536766,-0.03883093704292909,-0.0281793618391813
154,310.0,105.0,0.6,0.439,-0.04091514821123892,-0.04619351179931302,-0.03359044507552682
155,310.0,105.0,0.6,0.511,-0.04744193478962872,-0.053544471596541215,-0.03926898949685395
156,310.0,105.0,0.6,0.583,-0.05451684153372516,-0.061521754095463135,-0.04541362897022852
157,310.0,105.0,0.6,0.656,-0.062062452509023404,-0.07002039608057743,-0.05215229781472403
158,310.0,105.0,0.6,0.728,-0.0690083142734783,-0.07784565993419275,-0.05871052731669104
159,310.0,105.0,0.6,0.8,-0.07458052617294686,-0.0841234129360331,-0.06441804841733353
