had1,had2,z1,z2,mins,maxx,fit_line,conv
300.0,100.0,0.25,0.15,-0.024187513212390214,-0.01583248064013544,-0.019968527147016284,-0.021027326238651146
300.0,100.0,0.25,0.20357142857142854,-0.03464140621280388,-0.024035920264950487,-0.02935963866816464,-0.03537175872747202
300.0,100.0,0.25,0.2571428571428571,-0.04460391581131266,-0.03193106389964915,-0.03831414191305173,-0.04828349668832889
300.0,100.0,0.25,0.3107142857142857,-0.05362148628157359,-0.03916746939555263,-0.04650992977528313,-0.05963648477790588
300.0,100.0,0.25,0.3642857142857143,-0.061877438607219136,-0.04575920540125325,-0.05407423108234154,-0.06983345063192757
300.0,100.0,0.25,0.4178571428571428,-0.07015597672560943,-0.052025167828997625,-0.06151221520391836,-0.07970467724908842
300.0,100.0,0.25,0.4714285714285714,-0.0786542574760176,-0.05843998410462314,-0.06909412291195881,-0.08968991995187924
300.0,100.0,0.25,0.525,-0.08776891779149255,-0.0653341325224995,-0.07723234677733254,-0.10037977807045831
300.0,100.0,0.25,0.5785714285714285,-0.09760434945643293,-0.07271769173185383,-0.08602088791467223,-0.11192025527776245
300.0,100.0,0.25,0.6321428571428571,-0.10808144771380168,-0.08059466351050182,-0.09538932199559194,-0.12428712498667029
300.0,100.0,0.25,0.6857142857142857,-0.11924537759390574,-0.08879900850060922,-0.10517299614238787,-0.13721015001425327
300.0,100.0,0.25,0.7392857142857143,-0.1305296959612759,-0.0969847697615054,-0.11502301158409378,-0.1502653394697174
300.0,100.0,0.25,0.7928571428571428,-0.14174431809341756,-0.10502311627799436,-0.12469422697235448,-0.1631136026433919
300.0,100.0,0.25,0.8464285714285714,-0.15253251045293015,-0.11274837046570355,-0.13398890199461838,-0.17546401810167578
300.0,100.0,0.25,0.9,-0.16292762769944835,-0.12019399818682573,-0.14294565483522,-0.18728198319134148
300.0,100.0,0.35,0.15,-0.015521384900578824,-0.010627864645732251,-0.013058878803091098,-0.012252426619872758
300.0,100.0,0.35,0.20357142857142854,-0.02258970378330216,-0.015808623393309112,-0.019214445867661984,-0.019720619583637085
300.0,100.0,0.35,0.2571428571428571,-0.029887222036340932,-0.0212196809649269,-0.025627600491035782,-0.026945109361343124
300.0,100.0,0.35,0.3107142857142857,-0.037260322866174235,-0.026630958118316,-0.03204985057885544,-0.03429198441018972
300.0,100.0,0.35,0.3642857142857143,-0.0446623961713736,-0.03180781133695567,-0.03840790517031666,-0.04187224619897312
300.0,100.0,0.35,0.4178571428571428,-0.05217860322765271,-0.03703286930523098,-0.044859663499602416,-0.049793056492612314
300.0,100.0,0.35,0.4714285714285714,-0.05991870050444144,-0.04239103801400765,-0.051501755869516434,-0.05804998340745647
300.0,100.0,0.35,0.525,-0.06814748510312878,-0.0479116761801174,-0.05856224765347806,-0.06681585642238552
300.0,100.0,0.35,0.5785714285714285,-0.0769498442176287,-0.05366696463873604,-0.06611596322031743,-0.0761587692561082
300.0,100.0,0.35,0.6321428571428571,-0.0863604638899425,-0.059761960999324015,-0.07414578282628348,-0.08603728419643332
300.0,100.0,0.35,0.6857142857142857,-0.09650512653163314,-0.06613503289557404,-0.08256743752863238,-0.09631343569242863
300.0,100.0,0.35,0.7392857142857143,-0.10685739417539364,-0.07260829308433155,-0.0911478805368676,-0.10670699471479574
300.0,100.0,0.35,0.7928571428571428,-0.11719875507205453,-0.07904681321329379,-0.09970772497965473,-0.11696268118597915
300.0,100.0,0.35,0.8464285714285714,-0.12735420819783258,-0.08512397111609185,-0.1080824539746632,-0.1268122752690416
300.0,100.0,0.35,0.9,-0.1376069105257662,-0.09095574458207932,-0.11627271292887313,-0.13613077822571565
300.0,100.0,0.45,0.15,-0.01676019607866143,-0.012098520679984223,-0.014521251632870475,-0.013433547682937039
300.0,100.0,0.45,0.20357142857142854,-0.023602727168411743,-0.01691316330852017,-0.02043185322177803,-0.02051091588833459
300.0,100.0,0.45,0.2571428571428571,-0.0307514510325194,-0.02172134039884997,-0.026502182428578814,-0.027581800932432097
300.0,100.0,0.45,0.3107142857142857,-0.03801892107223051,-0.02647985044282197,-0.032615612984579434,-0.03501124288666403
300.0,100.0,0.45,0.3642857142857143,-0.04536613174192222,-0.03116232228616852,-0.03874007073876387,-0.04290221410763538
300.0,100.0,0.45,0.4178571428571428,-0.052913918725490505,-0.035789569657904134,-0.044977787681057736,-0.05118401205468118
300.0,100.0,0.45,0.4714285714285714,-0.06084267823581024,-0.0404316742410208,-0.05140750826914235,-0.059773649752742276
300.0,100.0,0.45,0.525,-0.06935182807909032,-0.045218750305439384,-0.058217399590597664,-0.06878245297270016
300.0,100.0,0.45,0.5785714285714285,-0.07857038137267522,-0.05021286617830867,-0.06552239916199662,-0.07830644685165963
300.0,100.0,0.45,0.6321428571428571,-0.08875357998096976,-0.05548614038087017,-0.07338860079310851,-0.08839045111211344
300.0,100.0,0.45,0.6857142857142857,-0.09979622067513284,-0.061057031532097565,-0.08183230122311701,-0.09901284050454229
300.0,100.0,0.45,0.7392857142857143,-0.11153591785921443,-0.0668584947917546,-0.0907384070506714,-0.11002708042146461
300.0,100.0,0.45,0.7928571428571428,-0.12383296924989612,-0.07283249421132597,-0.10000578540084057,-0.12125602380419469
300.0,100.0,0.45,0.8464285714285714,-0.13658888242055178,-0.07890427579537325,-0.10950555581267918,-0.13248069844653235
300.0,100.0,0.45,0.9,-0.14980283941635414,-0.08507492522058399,-0.11922656031212557,-0.14354686027372832
300.0,100.0,0.6,0.15,-0.018998085110706768,-0.013178663416006122,-0.016249417204488616,-0.014878893734469517
300.0,100.0,0.6,0.20357142857142854,-0.02586368859332213,-0.01803173852402164,-0.02215100856641325,-0.021965091100545533
300.0,100.0,0.6,0.2571428571428571,-0.03268011771090328,-0.02288823175136059,-0.028033113601810468,-0.02902024759741258
300.0,100.0,0.6,0.3107142857142857,-0.039391505645984766,-0.027738295144056825,-0.03385693072930972,-0.036432167248779075
300.0,100.0,0.6,0.3642857142857143,-0.04598186524669505,-0.032577277104495234,-0.03961095372402467,-0.044238799329679133
300.0,100.0,0.6,0.4178571428571428,-0.05249865525468285,-0.0374423874289253,-0.045334577543061264,-0.05223033200364161
300.0,100.0,0.6,0.4714285714285714,-0.058998981453798886,-0.04237601733340594,-0.051074732254275605,-0.0602479125802806
300.0,100.0,0.6,0.525,-0.06562061664376018,-0.047477356923632114,-0.05694487523018218,-0.06828707939228992
300.0,100.0,0.6,0.5785714285714285,-0.07276415607947946,-0.05260230845631835,-0.06307238058606048,-0.07642341209894536
300.0,100.0,0.6,0.6321428571428571,-0.08077539257808615,-0.05783508157064755,-0.0696135337821667,-0.08478701063894595
300.0,100.0,0.6,0.6857142857142857,-0.09005755525472076,-0.06337976880176067,-0.07676150535143995,-0.09356940122613681
300.0,100.0,0.6,0.7392857142857143,-0.1006289877562878,-0.06850603220097122,-0.084713706637551,-0.10301393907418205
300.0,100.0,0.6,0.7928571428571428,-0.11290905678681727,-0.07404487934904255,-0.09375424184575974,-0.1133962043417124
