had1,had2,z1,z2,fit_line
310.0,100.0,0.25,0.6857142857142857,0.07188529242138071
310.0,100.0,0.25,0.7392857142857143,0.08049457077760436
310.0,100.0,0.25,0.7928571428571428,0.08890176217984594
310.0,100.0,0.25,0.8464285714285714,0.09693992575640711
310.0,100.0,0.25,0.9,0.10462920952707401
310.0,100.0,0.35,0.15,-0.0037862468505327016
310.0,100.0,0.35,0.20357142857142857,-0.002692446609635647
310.0,100.0,0.35,0.2571428571428571,-0.0008739853481587448
310.0,100.0,0.35,0.3107142857142857,0.0013590012571367983
310.0,100.0,0.35,0.36428571428571427,0.00388822025117236
310.0,100.0,0.35,0.4178571428571428,0.006807354252180608
310.0,100.0,0.35,0.4714285714285714,0.010140844326247922
310.0,100.0,0.35,0.525,0.014021775897932446
310.0,100.0,0.35,0.5785714285714285,0.018455913198816884
310.0,100.0,0.35,0.6321428571428571,0.0233445702993464
310.0,100.0,0.35,0.6857142857142857,0.02853602471277758
310.0,100.0,0.35,0.7392857142857143,0.03383716142588037
310.0,100.0,0.35,0.7928571428571428,0.03908514081802013
310.0,100.0,0.35,0.8464285714285714,0.044163349798985715
310.0,100.0,0.35,0.9,0.04905641895153837
310.0,100.0,0.45,0.15,-0.010732981769650003
310.0,100.0,0.45,0.20357142857142857,-0.013106172653681377
310.0,100.0,0.45,0.2571428571428571,-0.014794445318333746
310.0,100.0,0.45,0.3107142857142857,-0.01589484349705923
310.0,100.0,0.45,0.36428571428571427,-0.016442427716394304
310.0,100.0,0.45,0.4178571428571428,-0.01637365049256724
310.0,100.0,0.45,0.4714285714285714,-0.01566734098331224
310.0,100.0,0.45,0.525,-0.014223637335689722
310.0,100.0,0.45,0.5785714285714285,-0.012009979272823303
310.0,100.0,0.45,0.6321428571428571,-0.009068713773354631
310.0,100.0,0.45,0.6857142857142857,-0.005495502080581915
310.0,100.0,0.45,0.7392857142857143,-0.0014328035462959888
310.0,100.0,0.45,0.7928571428571428,0.0029734847864558373
310.0,100.0,0.45,0.8464285714285714,0.007591011711692626
310.0,100.0,0.45,0.9,0.012354757209885074
310.0,100.0,0.6,0.15,-0.0200349763727322
310.0,100.0,0.6,0.20357142857142857,-0.02637918668706498
310.0,100.0,0.6,0.2571428571428571,-0.03219883394234541
310.0,100.0,0.6,0.3107142857142857,-0.037464154309806735
310.0,100.0,0.6,0.36428571428571427,-0.04213196683722766
310.0,100.0,0.6,0.4178571428571428,-0.04611407830264731
310.0,100.0,0.6,0.4714285714285714,-0.04933976905090545
310.0,100.0,0.6,0.525,-0.05166846977038846
310.0,100.0,0.6,0.5785714285714285,-0.05295747169541129
310.0,100.0,0.6,0.6321428571428571,-0.053057602061425437
310.0,100.0,0.6,0.6857142857142857,-0.05180200528061788
310.0,100.0,0.6,0.7392857142857143,-0.04901079312972638
310.0,100.0,0.6,0.7928571428571428,-0.04443071412210214
310.0,100.0,0.6,0.8464285714285714,-0.037727840023909255
310.0,100.0,0.6,0.9,-0.028297773367429817
310.0,105.0,0.25,0.15,-0.016279370412593516
310.0,105.0,0.25,0.20357142857142857,-0.02439488736722537
310.0,105.0,0.25,0.2571428571428571,-0.0319639359869831
310.0,105.0,0.25,0.3107142857142857,-0.038793817061222764
310.0,105.0,0.25,0.36428571428571427,-0.04509065410348157
310.0,105.0,0.25,0.4178571428571428,-0.05137925112006051
310.0,105.0,0.25,0.4714285714285714,-0.05791092402670112
310.0,105.0,0.25,0.525,-0.06506559844975526
310.0,105.0,0.25,0.5785714285714285,-0.07291206781689069
310.0,105.0,0.25,0.6321428571428571,-0.08136392185380138
310.0,105.0,0.25,0.6857142857142857,-0.0902493120254734
310.0,105.0,0.25,0.7392857142857143,-0.09922984382618169
310.0,105.0,0.25,0.7928571428571428,-0.10806675903831058
310.0,105.0,0.25,0.8464285714285714,-0.11657106761192973
310.0,105.0,0.25,0.9,-0.12478207083005005
310.0,105.0,0.35,0.15,-0.011270240379472524
310.0,105.0,0.35,0.20357142857142857,-0.016628648549352202
310.0,105.0,0.35,0.2571428571428571,-0.022051441691196376
310.0,105.0,0.35,0.3107142857142857,-0.027298356902145757
310.0,105.0,0.35,0.36428571428571427,-0.03233663479210155
310.0,105.0,0.35,0.4178571428571428,-0.03736275647399202
310.0,105.0,0.35,0.4714285714285714,-0.04249882882695009
310.0,105.0,0.35,0.525,-0.047975496713653074
310.0,105.0,0.35,0.5785714285714285,-0.053867853146739406
310.0,105.0,0.35,0.6321428571428571,-0.0601622136818684
310.0,105.0,0.35,0.6857142857142857,-0.06678425374782469
310.0,105.0,0.35,0.7392857142857143,-0.07353178193128301
310.0,105.0,0.35,0.7928571428571428,-0.08025313716588069
310.0,105.0,0.35,0.8464285714285714,-0.08681299886246753
310.0,105.0,0.35,0.9,-0.09322145876367688
310.0,105.0,0.45,0.15,-0.014131954338111291
310.0,105.0,0.45,0.20357142857142857,-0.019594518855879227
310.0,105.0,0.45,0.2571428571428571,-0.024998782874588316
310.0,105.0,0.45,0.3107142857142857,-0.030225359569711934
310.0,105.0,0.45,0.36428571428571427,-0.035252069995209696
310.0,105.0,0.45,0.4178571428571428,-0.040186155418229584
310.0,105.0,0.45,0.4714285714285714,-0.04511625450791531
310.0,105.0,0.45,0.525,-0.050219843626022595
310.0,105.0,0.45,0.5785714285714285,-0.0556048069584671
310.0,105.0,0.45,0.6321428571428571,-0.06133469467037892
310.0,105.0,0.45,0.6857142857142857,-0.06743072606564475
310.0,105.0,0.45,0.7392857142857143,-0.07380608926382155
310.0,105.0,0.45,0.7928571428571428,-0.08038827096853769
310.0,105.0,0.45,0.8464285714285714,-0.08708544335082752
310.0,105.0,0.45,0.9,-0.09390031262142279
310.0,105.0,0.6,0.15,-0.020920509074200785
310.0,105.0,0.6,0.20357142857142857,-0.028130521600154727
310.0,105.0,0.6,0.2571428571428571,-0.03506786205273279
310.0,105.0,0.6,0.3107142857142857,-0.041671539606530965
310.0,105.0,0.6,0.36428571428571427,-0.04791228731411077
310.0,105.0,0.6,0.4178571428571428,-0.05380370963928287
310.0,105.0,0.6,0.4714285714285714,-0.05937700848212534
310.0,105.0,0.6,0.525,-0.06470613661216515
310.0,105.0,0.6,0.5785714285714285,-0.06987581070018986
310.0,105.0,0.6,0.6321428571428571,-0.07498918402371818
310.0,105.0,0.6,0.6857142857142857,-0.08017073901179943
310.0,105.0,0.6,0.7392857142857143,-0.08553811564207266
310.0,105.0,0.6,0.7928571428571428,-0.0912503088387835
310.0,105.0,0.6,0.8464285714285714,-0.09750534420905747
310.0,105.0,0.6,0.9,-0.10464317068264999
