had1,had2,z1,z2,mins,maxx,fit_line
300.0,205.0,0.6,0.7392857142857143,-0.05105733522670016,-0.005067031637085188,-0.01836160601547866
300.0,205.0,0.6,0.7928571428571428,-0.05332883332942711,-0.004647669578871299,-0.01869019782113733
300.0,205.0,0.6,0.8464285714285714,-0.05542440666396013,-0.0041478814467328096,-0.018907741174884966
300.0,205.0,0.6,0.9,-0.05734242290203576,-0.0035620190701109843,-0.019010231652591497
310.0,200.0,0.25,0.15,-0.022620724319169824,-0.010020195489376833,-0.016188154254894227
310.0,200.0,0.25,0.20357142857142857,-0.021061809683633925,-0.006916685587231186,-0.013931836448852743
310.0,200.0,0.25,0.2571428571428571,-0.01678468671379964,-0.0015488877593256172,-0.009091677864851619
310.0,200.0,0.25,0.3107142857142857,-0.011423539706552749,0.004698362240850205,-0.0031009698157121062
310.0,200.0,0.25,0.36428571428571427,-0.005688608611258461,0.01137731460310129,0.003256792733824644
310.0,200.0,0.25,0.4178571428571428,0.0003093025672831838,0.018359846959142972,0.009743838298614032
310.0,200.0,0.25,0.4714285714285714,0.0059166049909696065,0.02511822173138291,0.015755665087037577
310.0,200.0,0.25,0.525,0.010688404540133511,0.031164941129671993,0.02116615926103774
310.0,200.0,0.25,0.5785714285714285,0.014652513041595011,0.036371543157383744,0.025833964407389578
310.0,200.0,0.25,0.6321428571428571,0.01796517082487574,0.04088246980051944,0.029755154128849926
310.0,200.0,0.25,0.6857142857142857,0.02070158613014529,0.04467799098490228,0.03301758616239559
310.0,200.0,0.25,0.7392857142857143,0.02303883915896523,0.047940621376375545,0.03581828068785275
310.0,200.0,0.25,0.7928571428571428,0.025094456467987802,0.05082657463553516,0.03829264734266064
310.0,200.0,0.25,0.8464285714285714,0.02698252962833497,0.053482400150201295,0.04056959054592646
310.0,200.0,0.25,0.9,0.02879838243383944,0.056031560879078096,0.04275746815705572
310.0,200.0,0.35,0.15,-0.014994054550665383,-0.006819453185960009,-0.011008455037085281
310.0,200.0,0.35,0.20357142857142857,-0.017669020288285167,-0.006992809121865927,-0.01237602936202931
310.0,200.0,0.35,0.2571428571428571,-0.018958112524225686,-0.006212356474141563,-0.012530950073676196
310.0,200.0,0.35,0.3107142857142857,-0.019123176814019982,-0.004720400158855957,-0.011804618070565234
310.0,200.0,0.35,0.36428571428571427,-0.018435030283149724,-0.002386468910117793,-0.010440907945932444
310.0,200.0,0.35,0.4178571428571428,-0.01714896370556069,0.00036774594678317556,-0.008555126674274757
310.0,200.0,0.35,0.4714285714285714,-0.015574539663740884,0.003251073706335729,-0.006482034504706851
310.0,200.0,0.35,0.525,-0.013959673698981788,0.006090809513124857,-0.004378129710218427
310.0,200.0,0.35,0.5785714285714285,-0.01256828505971024,0.008740595464997216,-0.002404397243353757
310.0,200.0,0.35,0.6321428571428571,-0.011333875115549669,0.011119556171663868,-0.0006470877026436181
310.0,200.0,0.35,0.6857142857142857,-0.010277958118096356,0.013225256517482565,0.0008830020722331283
310.0,200.0,0.35,0.7392857142857143,-0.009349620957533054,0.01511274272796116,0.002240359297372036
310.0,200.0,0.35,0.7928571428571428,-0.008536196958695787,0.016844455512149196,0.0034775666628033227
310.0,200.0,0.35,0.8464285714285714,-0.007772052361159445,0.01847849082314517,0.004648314365500474
310.0,200.0,0.35,0.9,-0.006996790030014084,0.020070989153213172,0.005803170977718443
310.0,200.0,0.45,0.15,-0.016629911041831345,-0.00572939634277721,-0.010707704581681856
310.0,200.0,0.45,0.20357142857142857,-0.021656449045678816,-0.006776613522331183,-0.013556938547235681
310.0,200.0,0.45,0.2571428571428571,-0.026035695668510394,-0.007594560623161329,-0.01597739879547533
310.0,200.0,0.45,0.3107142857142857,-0.029785896788970832,-0.008263436412165166,-0.01802255922237551
310.0,200.0,0.45,0.36428571428571427,-0.032962479479698444,-0.008823097135589784,-0.0197239108023479
310.0,200.0,0.45,0.4178571428571428,-0.03557697625690145,-0.009267519135419977,-0.021080641681561978
310.0,200.0,0.45,0.4714285714285714,-0.03774625591636475,-0.009600240843427804,-0.02216718157205286
310.0,200.0,0.45,0.525,-0.039569926266821195,-0.00981322821000571,-0.023029108964276037
310.0,200.0,0.45,0.5785714285714285,-0.041166425913827,-0.009911899601207058,-0.023728249902802513
310.0,200.0,0.45,0.6321428571428571,-0.04262014963003223,-0.009924734106540559,-0.024322581555477937
310.0,200.0,0.45,0.6857142857142857,-0.04397295591327856,-0.009854849828321357,-0.024832706733119145
310.0,200.0,0.45,0.7392857142857143,-0.04522210880186359,-0.009722231189540848,-0.025275614160753832
310.0,200.0,0.45,0.7928571428571428,-0.046425424965997115,-0.00946715123520404,-0.025639749388932345
310.0,200.0,0.45,0.8464285714285714,-0.047512955796234484,-0.009162332014290306,-0.025922745242965475
310.0,200.0,0.45,0.9,-0.04846392782223202,-0.008802148326244827,-0.026115765966702464
310.0,200.0,0.6,0.15,-0.013511926124238644,-0.00369700554770938,-0.006647767787055186
310.0,200.0,0.6,0.20357142857142857,-0.01784087477405526,-0.004165232921523258,-0.008174961771771504
310.0,200.0,0.6,0.2571428571428571,-0.021994908690749087,-0.004426032140491727,-0.009578774197682032
310.0,200.0,0.6,0.3107142857142857,-0.025984939936238377,-0.004667539594339979,-0.010922077759937658
310.0,200.0,0.6,0.36428571428571427,-0.029808664009092302,-0.004943005327784929,-0.01223259564200089
310.0,200.0,0.6,0.4178571428571428,-0.03344597711039109,-0.005238769046301456,-0.01349505629636807
310.0,200.0,0.6,0.4714285714285714,-0.03688747968594095,-0.005500429037644635,-0.014669716754133618
310.0,200.0,0.6,0.525,-0.040121115202171445,-0.005672243108287043,-0.015715074365485672
310.0,200.0,0.6,0.5785714285714285,-0.04314281780751352,-0.005702699340326759,-0.016594677960324617
310.0,200.0,0.6,0.6321428571428571,-0.0459716550539272,-0.005616935459780153,-0.01733193422462742
310.0,200.0,0.6,0.6857142857142857,-0.048599412740670506,-0.005373696994888974,-0.017895885307472787
310.0,200.0,0.6,0.7392857142857143,-0.05105733522670016,-0.005067031637085188,-0.01836160601547866
310.0,200.0,0.6,0.7928571428571428,-0.05332883332942711,-0.004647669578871299,-0.01869019782113733
310.0,200.0,0.6,0.8464285714285714,-0.05542440666396013,-0.0041478814467328096,-0.018907741174884966
310.0,200.0,0.6,0.9,-0.05734242290203576,-0.0035620190701109843,-0.019010231652591497
310.0,205.0,0.25,0.15,-0.019255070518758157,-0.013223719163172156,-0.016370201421845296
310.0,205.0,0.25,0.20357142857142857,-0.027874386826804133,-0.018988266059713082,-0.023591955866295627
310.0,205.0,0.25,0.2571428571428571,-0.03616104454951638,-0.024137339048002665,-0.030320718169430397
310.0,205.0,0.25,0.3107142857142857,-0.04350780229014163,-0.028542840713453196,-0.03625491958121728
310.0,205.0,0.25,0.36428571428571427,-0.04987357312294584,-0.03233757003238792,-0.04137736193843507
310.0,205.0,0.25,0.4178571428571428,-0.05549169047837769,-0.03567284615994878,-0.04588272593575889
310.0,205.0,0.25,0.4714285714285714,-0.06034311858004766,-0.038498587453656335,-0.049763659792659475
310.0,205.0,0.25,0.525,-0.06457383295729444,-0.04094411349248754,-0.053141337339613647
310.0,205.0,0.25,0.5785714285714285,-0.06831753768196594,-0.043028772821464265,-0.056045800985529096
310.0,205.0,0.25,0.6321428571428571,-0.07155138386245916,-0.044802841685644704,-0.05854314514286243
310.0,205.0,0.25,0.6857142857142857,-0.07431771455878519,-0.046295098139091134,-0.0606710404951073
310.0,205.0,0.25,0.7392857142857143,-0.07678921719780622,-0.04761339070055249,-0.06256815977614291
310.0,205.0,0.25,0.7928571428571428,-0.07901764615448068,-0.048786284503316235,-0.0642736064072362
310.0,205.0,0.25,0.8464285714285714,-0.08108175391049308,-0.049859709285962166,-0.06584849042847528
310.0,205.0,0.25,0.9,-0.08304913835195524,-0.05087505487101559,-0.06734641053866465
310.0,205.0,0.35,0.15,-0.014383416904368607,-0.008971840580448575,-0.011634783177934623
310.0,205.0,0.35,0.20357142857142857,-0.01990561464340909,-0.012221399782661374,-0.016093472098554443
310.0,205.0,0.35,0.2571428571428571,-0.025256424555072318,-0.015331984299305922,-0.020384516694294988
310.0,205.0,0.35,0.3107142857142857,-0.03033968386145453,-0.018227777357221593,-0.0243877768396603
310.0,205.0,0.35,0.36428571428571427,-0.034990202349754376,-0.020855721515667797,-0.028045917270782955
310.0,205.0,0.35,0.4178571428571428,-0.03921874079043943,-0.023159559035257182,-0.03137557380712793
310.0,205.0,0.35,0.4714285714285714,-0.04303645633017182,-0.025089964945375475,-0.034362916746691126
310.0,205.0,0.35,0.525,-0.04655315419553465,-0.026777554678918413,-0.037038603358837935
310.0,205.0,0.35,0.5785714285714285,-0.049795680905186455,-0.02823277462529796,-0.03941144376077922
310.0,205.0,0.35,0.6321428571428571,-0.052739220100477956,-0.02948163651535318,-0.0415088078067074
310.0,205.0,0.35,0.6857142857142857,-0.055395098317108954,-0.030541247076428316,-0.04334625305785868
310.0,205.0,0.35,0.7392857142857143,-0.05782273182482391,-0.031462590449762365,-0.044986528207092244
310.0,205.0,0.35,0.7928571428571428,-0.06003946624234416,-0.032262787380873945,-0.04645039588378788
310.0,205.0,0.35,0.8464285714285714,-0.062076027043156616,-0.03296686016619894,-0.04777066704061671
310.0,205.0,0.35,0.9,-0.06396351182900652,-0.033598508916822034,-0.04897861343517798
310.0,205.0,0.45,0.15,-0.01792546426290128,-0.011052797485312163,-0.0145053790581364
310.0,205.0,0.45,0.20357142857142857,-0.024192123143175273,-0.014718132727136731,-0.01947096734455649
310.0,205.0,0.45,0.2571428571428571,-0.030135939187287072,-0.018159629756823437,-0.024168754837821344
310.0,205.0,0.45,0.3107142857142857,-0.03569321000120177,-0.021349914134558164,-0.028553885560612533
310.0,205.0,0.45,0.36428571428571427,-0.04085644146162305,-0.024274629521443714,-0.032599875370857186
310.0,205.0,0.45,0.4178571428571428,-0.04560336735518099,-0.02693288395906207,-0.03630040435657961
310.0,205.0,0.45,0.4714285714285714,-0.04995602363591625,-0.02932974196210628,-0.039670090499923774
310.0,205.0,0.45,0.525,-0.053949944186836435,-0.031478978669765706,-0.042731624249480925
310.0,205.0,0.45,0.5785714285714285,-0.05762431707033922,-0.03339579902756412,-0.04551008506382074
310.0,205.0,0.45,0.6321428571428571,-0.061008044363659066,-0.03506507921534898,-0.04802995959445133
310.0,205.0,0.45,0.6857142857142857,-0.06412669020332357,-0.03648364606765479,-0.05031277487175795
310.0,205.0,0.45,0.7392857142857143,-0.06699268094504442,-0.03772924510343987,-0.05238026191191182
310.0,205.0,0.45,0.7928571428571428,-0.06962605664349422,-0.038820843193459686,-0.05425127237302596
310.0,205.0,0.45,0.8464285714285714,-0.07203908645112406,-0.03978521927399949,-0.05594266290785776
310.0,205.0,0.45,0.9,-0.07424909510404794,-0.040639117949747075,-0.05747284245655952
310.0,205.0,0.6,0.15,-0.02547005685895148,-0.015697568378062864,-0.020638924723390798
310.0,205.0,0.6,0.20357142857142857,-0.03449039358439595,-0.021249950761988847,-0.027950523130458177
310.0,205.0,0.6,0.2571428571428571,-0.04321550074506105,-0.026688165115159795,-0.035059835867158703
310.0,205.0,0.6,0.3107142857142857,-0.05157075055565251,-0.03198222077489326,-0.04191415075082697
310.0,205.0,0.6,0.36428571428571427,-0.05950462592973541,-0.03710824446706711,-0.04847498346563062
310.0,205.0,0.6,0.4178571428571428,-0.0669913711868596,-0.04204946331225695,-0.05472020791368097
310.0,205.0,0.6,0.4714285714285714,-0.07403321092611102,-0.04678979283958795,-0.06064619242377398
310.0,205.0,0.6,0.525,-0.0806419531003447,-0.05133108474750298,-0.0662558028743651
310.0,205.0,0.6,0.5785714285714285,-0.08683760148813721,-0.05567203440920536,-0.0715579009688437
310.0,205.0,0.6,0.6321428571428571,-0.09262741673591653,-0.05974902100795417,-0.07655300872224441
310.0,205.0,0.6,0.6857142857142857,-0.0980367568681997,-0.06359380600076658,-0.08125509201923609
310.0,205.0,0.6,0.7392857142857143,-0.10306215743894741,-0.06722274019200988,-0.08565844385161381
310.0,205.0,0.6,0.7928571428571428,-0.10773506616448147,-0.07064532726792477,-0.08978260131145707
310.0,205.0,0.6,0.8464285714285714,-0.11206954175613978,-0.0738654663277401,-0.09363539511239301
310.0,205.0,0.6,0.9,-0.11608942210820314,-0.0768918662848951,-0.09723236087965166
