,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,chi
3,0.1491181725274012,-0.1081896546522435,-0.1318381999137868,-0.08998925063548747,2.3661221811656308,5.299178338326355,4.19425348814288,0.08226733975874079,117.02222713235625
6,0.09065054962033264,-0.1191225549929518,-0.09510690419421504,-0.05771731058101065,1.876390605434722,3.0651444217443435,2.332392595231193,0.06973109176414513,115.94685111470032
7,0.08964677518113327,-0.1076678133180285,-0.1412125039732674,-0.05234473191810599,2.373270906953587,3.433330544518192,2.65624334604295,0.0613255361261996,112.44815355828156
8,0.1324220854237844,-0.1182786446770693,-0.1230378384539241,-0.08617444649279324,2.2852293484843607,4.017367624364326,3.195717857537073,0.09475016956755468,111.37382344165917
9,0.08377703691669047,-0.09703228907001092,-0.1624234033181371,-0.04872620836336651,2.8882424902690182,2.9253293975768035,1.8557798916120032,0.05897716616127816,116.16968077641636
11,0.09737447095668432,-0.11478780794655198,-0.09635284099398107,-0.06120010675007261,2.130891132561668,3.4734551828820317,2.897625215007085,0.07026470553331958,115.51602358218337
12,0.1476732657844403,-0.09317277490480562,-0.14338824357973,-0.095190283580063,2.413053397826572,5.244307811003667,3.863541609229014,0.07824826392097503,117.07588234263213
15,0.09706721222363753,-0.09431659108814036,-0.1563486518874497,-0.05475865468410387,2.619883957869281,3.389461763823328,2.035784892078448,0.06803738428024153,108.97189248864201
17,0.1268013413793099,-0.1226611851129843,-0.1504500823391139,-0.0922528800689592,2.6472747330323454,3.8307749712037817,3.406533128138638,0.09371820222708732,113.59639493704216
18,0.06751975984325242,-0.08965821438285895,-0.1246743791935218,-0.04237967864694755,2.371812676003026,2.5256865424635104,1.256443514768751,0.07020315296777263,116.77055025813641
19,0.1312722454379891,-0.09581837153139702,-0.1416977319295629,-0.06617750704884183,2.2210842997521536,5.491246306918462,3.5674095306838263,0.06154208947971575,120.56703565264796
21,0.1289266353347004,-0.0987712588363728,-0.1345270924591289,-0.07805148915598302,2.545872394137904,4.08633311523668,2.8159630110706013,0.07924880748292812,109.88459539385744
22,0.1009304816484446,-0.09153827156951154,-0.1693787393225757,-0.05535392639675677,2.8834179331640453,4.108124603452128,2.6643030136903523,0.05820566365862359,114.47283019319887
23,0.1067466091881373,-0.09886247794931592,-0.09785295170237043,-0.05825274191987648,1.884460411330132,4.363290320247579,2.9318549903590565,0.06293132218860932,108.03225899211306
24,0.1151566498874791,-0.1123794912955543,-0.07765359387729409,-0.06531770021829643,1.775897426515624,4.221127688214378,3.0076234855558552,0.07163833964575321,113.19678146679355
25,0.08387513316426554,-0.09180141144660488,-0.10829611106747501,-0.04616879640447335,2.0639395440906907,3.512888164136502,2.00301735045764,0.0623181306597855,106.80008986904659
26,0.1091911468393725,-0.09169482720397212,-0.1420341069762582,-0.06597693079883704,2.408438887087933,3.943214272475964,2.8551553384581565,0.06885052400292056,110.33377508612853
27,0.1361156025978923,-0.1036537496254533,-0.10502322834162699,-0.08472054451545243,2.026363755505483,4.528731665598218,3.2204795075353254,0.08532027287192487,110.14699858886598
29,0.08411671334301411,-0.1059892859531077,-0.1413910128631432,-0.03573925300202237,2.502684634610274,3.8413450663170536,1.7710963251236769,0.051783405267464735,115.48988459004299
31,0.1144448688962025,-0.0974295164308715,-0.1022035306618906,-0.06828820849421326,2.094884844879704,3.783429340734689,2.561823576413123,0.08236527900163297,112.95213848467131
32,0.0674772564714933,-0.0982158244477854,-0.1528850663564373,-0.043325802848246935,2.70038116933876,2.685403526292517,1.6752822128169933,0.05711294196598388,115.57011306270479
34,0.07881506523016146,-0.08851604230316634,-0.1494735322332778,-0.048186212970324965,2.7155552251455832,2.709893007997447,1.254709468884868,0.06526473313499706,118.87005667200705
35,0.0727670246833215,-0.09158854006500056,-0.1395484971514474,-0.04551967547285835,2.4766292346812597,3.078308931782995,1.999050875283424,0.05372326782445437,110.88024905461998
36,0.1446353925368395,-0.1078517534050605,-0.1056042877372883,-0.08817846771358914,2.064786351311585,4.918328882735635,3.5154136151534314,0.08692848225930383,113.683390607986
37,0.08698287239392559,-0.0898873981568378,-0.1034681337021484,-0.05327340279048998,2.091421422698795,3.279895480351404,2.254213228494176,0.05867495872029487,109.69476307706869
38,0.09397607605011768,-0.09577282756275696,-0.1384367960788771,-0.07218030323269325,2.4439139056275354,2.836615437631511,2.661157887814499,0.0801140669141366,118.6704966820013
39,0.12544834832374901,-0.1057912752592118,-0.111973298038573,-0.07088647417993367,2.094581786449789,4.529959957542272,3.042593870737721,0.07091247682927831,109.6291673676767
42,0.1224492003463006,-0.1179193492757146,-0.1363417711971298,-0.08200201289398032,2.400158674596068,3.757023230781094,3.280320096131093,0.08866175540254978,112.69632394308287
43,0.0698004075623055,-0.08904950685163222,-0.1371929032961647,-0.029467780259457968,2.536752805898578,3.263724140255875,1.050220955930654,0.05057636057663231,115.76113045311138
46,0.1101481511574239,-0.1116509918014435,-0.08256708049897613,-0.07128889653806053,1.772791059418516,4.093099390768752,3.151413996650812,0.0760781098066367,114.09856870666336
47,0.13465051587157,-0.1099306765448761,-0.1279758783484078,-0.08641752447184323,2.321700480053483,4.536440677121007,3.884444979516476,0.08048644055351281,112.6252447166254
48,0.08138058441065447,-0.1035561705050084,-0.1206724628050291,-0.0532400855719471,2.270212810773737,2.85459075854168,2.152695831690157,0.06786828959128649,106.47556424346787
49,0.1179797685263669,-0.1076255024813308,-0.1152169933676264,-0.08092699327358137,2.163866608102812,3.385925597907859,2.936962562103804,0.08275157963169172,112.10310416239344
