,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3
72,310,100,0.45,0.25,-0.0179,0.004627,0.012342469142634779,0.0237735763958185,0.021330356499557543
73,310,100,0.45,0.35,-0.0199,0.007129000000000001,0.005899240432130072,0.010611172198751852,0.010685684732131318
74,310,100,0.45,0.45,-0.0218,0.01061,0.0028594120112444585,0.004577170943095464,0.005278041975117233
75,310,100,0.45,0.6,-0.0068,0.01321,0.0009898470333882282,0.0012644819678301656,0.0018525738659854055
76,310,100,0.6,0.25,-0.0245,0.006028,0.0033404446587726004,0.00658597933733892,0.004850888875082524
77,310,100,0.6,0.35,-0.0176,0.009328,0.001532443266036379,0.002894047951238729,0.0023092711526050743
78,310,100,0.6,0.45,-0.0205,0.01381,0.0006999593324087432,0.0011999642351000154,0.0010716177685844868
79,310,100,0.6,0.6,-0.0173,0.01681,0.0002102173009375996,0.0002906533050425271,0.0003254473327704126
80,310,105,0.25,0.25,-0.0359,0.004079999999999999,0.029783497565622572,0.04540922117420314,0.1107013682525339
81,310,105,0.25,0.35,-0.0486,0.006194,0.013691684121892889,0.0197242427331232,0.05314149378708716
82,310,105,0.25,0.45,-0.0737,0.008927,0.0066460267862500965,0.008788603734246201,0.026230192541056338
83,310,105,0.25,0.6,-0.1047,0.01069,0.0023869804232414765,0.002724135184188004,0.00951176798808909
84,310,105,0.35,0.25,-0.0249,0.003943,0.02657606105848302,0.04380709557062299,0.05739024195706228
85,310,105,0.35,0.35,-0.0311,0.006242,0.012638692102067198,0.01958722951593248,0.02888644018243632
86,310,105,0.35,0.45,-0.0536,0.009429,0.006181190762178744,0.008691909330531107,0.014440871233944714
87,310,105,0.35,0.6,-0.0625,0.01122,0.0022016130050505566,0.002600903979675734,0.0052164672964184885
88,310,105,0.45,0.25,-0.0248,0.005228,0.01204697686273654,0.023478078742008426,0.02081930729048692
89,310,105,0.45,0.35,-0.0432,0.00831,0.005692077341063257,0.010404008663955801,0.010309492393770664
90,310,105,0.45,0.45,-0.0269,0.01273,0.002726290259627849,0.004443930357317558,0.005031447346323137
91,310,105,0.45,0.6,-0.0834,0.01548,0.0009199167851343018,0.0011945515214061247,0.0017216549198211053
92,310,105,0.6,0.25,-0.0196,0.006719,0.003337798351445768,0.006583328792217563,0.004847244520448367
93,310,105,0.6,0.35,-0.0526,0.01095,0.0015291165425587964,0.002891194807521585,0.0023048094271733593
94,310,105,0.6,0.45,-0.0417,0.01614,0.0006975514661144539,0.0011973986803002197,0.0010681625637441036
95,310,105,0.6,0.6,-0.0534,0.01926,0.00020851232917990035,0.0002889022291529173,0.0003231387909607922
96,310,200,0.25,0.25,-0.013,0.0063100000000000005,0.006136977904092142,0.01698587698510487,0.023125974947003327
97,310,200,0.25,0.35,-0.0007,0.009165999999999999,0.0035110063558453425,0.009083669337329419,0.01384342299582693
98,310,200,0.25,0.45,0.0115,0.01254,0.002093969017032792,0.00461638924967618,0.008401895737492447
99,310,200,0.25,0.6,0.0601,0.01345,0.0010315719301635452,0.0015978589843970753,0.004180856530996843
100,310,200,0.35,0.25,-0.0023,0.006203,0.006422184836093442,0.01854320461713834,0.01409296104127413
101,310,200,0.35,0.35,-0.0032,0.009427,0.0038355081692380754,0.010356087908080574,0.008930664646467346
102,310,200,0.35,0.45,0.0029,0.01341,0.002313745550540572,0.005319757687691155,0.005507480165937328
103,310,200,0.35,0.6,-0.0094,0.01481,0.0011440485053660658,0.001826419557326967,0.002760058302798287
104,310,200,0.45,0.25,-0.015,0.008334999999999999,0.004713525659628037,0.012811217021217616,0.008269778727117871
105,310,200,0.45,0.35,-0.0018,0.01291,0.002810193765362709,0.007269267683509868,0.0051738276126149325
106,310,200,0.45,0.45,-0.0465,0.01875,0.0016546358222275068,0.0037291191532147216,0.0031003635368099893
107,310,200,0.45,0.6,-0.0141,0.02112,0.0007929298046885307,0.0012665903029940883,0.0015031649767591588
108,310,200,0.6,0.25,-0.0084,0.011009999999999999,0.0018556663572681263,0.0041681789353479656,0.002735598677489212
109,310,200,0.6,0.35,-0.0213,0.01725,0.001108088063327167,0.0024065371062170467,0.0016979099510955596
110,310,200,0.6,0.45,-0.0577,0.02441,0.0006437344816266416,0.001253020907541857,0.0010007318962680248
111,310,200,0.6,0.6,-0.051,0.02754,0.0003025088981079846,0.0004426341133918909,0.0004764400296189906
112,310,205,0.25,0.25,-0.0236,0.005228,0.00631631419979015,0.01716520836189959,0.023801950595527595
113,310,205,0.25,0.35,-0.0453,0.007755,0.0035708635414043346,0.009143521871318297,0.014079611385782866
114,310,205,0.25,0.45,-0.0566,0.010879999999999999,0.0021057162786725825,0.004628132147575403,0.008449185083784729
115,310,205,0.25,0.6,-0.1095,0.01165,0.0010246023487960653,0.0015908967265463331,0.004152729649233433
116,310,205,0.35,0.25,-0.0089,0.004604,0.0072244134861636595,0.019345437737329097,0.015850708246905924
117,310,205,0.35,0.35,-0.0283,0.0067540000000000005,0.00422678112020527,0.010747240957063356,0.009839858546132854
118,310,205,0.35,0.45,-0.048,0.009595000000000001,0.0024944955362636435,0.0055003673500406665,0.005936354647949673
119,310,205,0.35,0.6,-0.0958,0.01111,0.0012036478027798215,0.0018859659027214966,0.002902071850940352
120,310,205,0.45,0.25,-0.013,0.005961999999999999,0.006784198284521926,0.014881908524525828,0.011902856581027318
121,310,205,0.45,0.35,-0.0226,0.008415,0.004024161792812084,0.008483485745448343,0.007408763216752406
122,310,205,0.45,0.45,-0.0597,0.01162,0.0023411073498116847,0.004415455830589585,0.004385939482975096
123,310,205,0.45,0.6,-0.0826,0.01265,0.0011066888707682101,0.0015802574470114592,0.0020966214881439874
124,310,205,0.6,0.25,-0.0508,0.007599,0.0038310281756190325,0.0061435556065571,0.005649211901124549
125,310,205,0.6,0.35,-0.0609,0.01048,0.0023191290406249557,0.00361768217161101,0.0035545705964528935
126,310,205,0.6,0.45,-0.0621,0.01403,0.0013514085094932901,0.0019607167618404943,0.0021046388191813844
127,310,205,0.6,0.6,-0.0828,0.01405,0.0006381211234860968,0.0007782069026323873,0.0010058261214657188
