,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3
0,300,100,0.25,0.25,-0.039,0.004079999999999999,0.029832075238215322,0.04548331416047996,0.11158323928401709
1,300,100,0.25,0.35,-0.0474,0.006344,0.013719924679350305,0.01976492973509612,0.053626554905519166
2,300,100,0.25,0.45,-0.0708,0.00881,0.006660848008708974,0.008808202916050683,0.026480440308802675
3,300,100,0.25,0.6,-0.0757,0.010020000000000001,0.002392526559243173,0.002730464456810574,0.009605038658147795
4,300,100,0.35,0.25,-0.0243,0.003933,0.026774870231527654,0.04413407550127944,0.058172159629700265
5,300,100,0.35,0.35,-0.039,0.006074,0.012749443486221685,0.01975875699276904,0.02933945420735512
6,300,100,0.35,0.45,-0.0495,0.009082,0.006238554807159331,0.008772532677302125,0.014680271283854084
7,300,100,0.35,0.6,-0.0733,0.01084,0.002222844077048805,0.0026258140348523287,0.005307355582107543
8,300,100,0.45,0.25,-0.0289,0.005136,0.012166954394726703,0.02371196890566942,0.021126694859156057
9,300,100,0.45,0.35,-0.0438,0.00809,0.0057584062895118734,0.010524511181136101,0.010488433631782458
10,300,100,0.45,0.45,-0.0581,0.012320000000000001,0.0027593285274436856,0.004498071158419914,0.005124172849971544
11,300,100,0.45,0.6,-0.0651,0.01455,0.0009315306903101318,0.001209638934487129,0.0017539056212995884
12,300,100,0.6,0.25,-0.0403,0.006561,0.0033773894120464024,0.0066606267718322875,0.004922259709727198
13,300,100,0.6,0.35,-0.0452,0.01018,0.001550212125240253,0.002930426972387807,0.0023471819811918997
14,300,100,0.6,0.45,-0.0248,0.015359999999999999,0.0007077554300364273,0.0012153152503432544,0.0010890911018010796
15,300,100,0.6,0.6,-0.0494,0.01795,0.00021170446662776627,0.00029334494106831433,0.0003296556086512605
16,300,105,0.25,0.25,0.0049,0.004605,0.03040910182408954,0.046060338021257516,0.11374124534728808
17,300,105,0.25,0.35,0.0168,0.005974,0.014089803686323754,0.02013480930178249,0.055071953570968855
18,300,105,0.25,0.45,0.0233,0.008745999999999999,0.006890090746501583,0.009037445708596508,0.027391701839460235
19,300,105,0.25,0.6,0.0372,0.010790000000000001,0.0025092258765326723,0.002847163762233214,0.010073507505042172
20,300,105,0.35,0.25,-0.002,0.003471,0.027808316642256546,0.045167225920297364,0.06042367526456456
21,300,105,0.35,0.35,-0.0032,0.0053159999999999995,0.013443847799145616,0.020453131909019782,0.03093927692541709
22,300,105,0.35,0.45,-0.0053,0.007906,0.006677147678489816,0.009211104522114688,0.015714153236434287
23,300,105,0.35,0.6,0.0175,0.00976,0.0024488914000823196,0.002851851035989747,0.005848023754336133
24,300,105,0.45,0.25,-0.0113,0.004509,0.012465404006615357,0.024010422885033057,0.02164537313656068
25,300,105,0.45,0.35,-0.0231,0.006944,0.0059677805715406896,0.010733885463164918,0.010871386515116953
26,300,105,0.45,0.45,-0.029,0.01034,0.002894223230895251,0.004632965654821094,0.005375328189233407
27,300,105,0.45,0.6,0.0041,0.0128,0.0010023456570466683,0.0012804541272242963,0.0018874281570457519
28,300,105,0.6,0.25,-0.0247,0.005921,0.0033800672322326763,0.006663312766483781,0.00492596187196103
29,300,105,0.6,0.35,-0.0242,0.009059000000000001,0.001553384145286005,0.0029343543810819222,0.0023515211070825985
