,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max
49,49,300.0,105.0,0.25,0.8,0.003746437570638347,0.10421533297128827,,0.0842228975382931,True,True
50,50,300.0,105.0,0.35,0.15,-0.006117475375835979,-0.00044785138674091244,,-0.004175393792699647,True,True
51,51,300.0,105.0,0.35,0.222,-0.010526720605825175,0.0006740539731281784,,-0.005362827117178961,True,True
52,52,300.0,105.0,0.35,0.294,-0.012966602767051142,0.003485031165672559,,-0.004437016268379358,True,True
53,53,300.0,105.0,0.35,0.3670000000000001,-0.013699729405446014,0.007763400548043149,,-0.0017095640479111494,True,True
54,54,300.0,105.0,0.35,0.439,-0.013192700279346667,0.012485358461197683,,0.0016098885332830894,True,True
55,55,300.0,105.0,0.35,0.511,-0.01171216153694337,0.017948396015465013,,0.005909281235345156,True,True
56,56,300.0,105.0,0.35,0.583,-0.009367182415627218,0.02445308726040493,,0.01130517686886075,True,True
57,57,300.0,105.0,0.35,0.6559999999999999,-0.006383195669898498,0.031791804087843406,,0.01756545798969853,True,True
58,58,300.0,105.0,0.35,0.728,-0.0028447764992793477,0.040035625281944424,,0.02463798289622905,True,True
59,59,300.0,105.0,0.35,0.8,0.00041243274545196205,0.047969079465140965,,0.03121170147383685,True,True
60,60,300.0,105.0,0.45,0.15,-0.009117620099286607,-0.004415164199525909,,-0.007924527045432223,True,True
61,61,300.0,105.0,0.45,0.222,-0.01588016819135759,-0.0076899014892880535,,-0.013622717199281124,True,True
62,62,300.0,105.0,0.45,0.294,-0.020036739582297316,-0.009551254231641595,,-0.016970148843020557,True,True
63,63,300.0,105.0,0.45,0.3670000000000001,-0.021786565973428887,-0.010057694745159966,,-0.01823840445883633,True,True
64,64,300.0,105.0,0.45,0.439,-0.02176902988804667,-0.009618737499771613,,-0.017943823252969792,True,True
65,65,300.0,105.0,0.45,0.511,-0.020304978865248745,-0.008360888632550103,,-0.01636122135959129,True,True
66,66,300.0,105.0,0.45,0.583,-0.018109460456528947,-0.005559613648048228,,-0.01355529047355442,True,True
67,67,300.0,105.0,0.45,0.6559999999999999,-0.01501252960935681,-0.0005473225964364685,,-0.009674278717755157,True,True
68,68,300.0,105.0,0.45,0.728,-0.011433279289716321,0.0056677959112038856,,-0.004724835505043439,True,True
69,69,300.0,105.0,0.45,0.8,-0.007810042308687415,0.011838351953220458,,0.0002370659243355904,True,True
70,70,300.0,105.0,0.6,0.15,-0.013621454349138022,-0.007515001955207368,,-0.011802476081244209,True,True
71,71,300.0,105.0,0.6,0.222,-0.024751114433896874,-0.013583838487070043,,-0.02144246512247544,True,True
72,72,300.0,105.0,0.6,0.294,-0.03303575934784102,-0.018028685501284093,,-0.028577332404174663,True,True
73,73,300.0,105.0,0.6,0.3670000000000001,-0.03826641833418413,-0.020776738528098027,,-0.03304022670711209,True,True
74,74,300.0,105.0,0.6,0.439,-0.041136826631238015,-0.022253571591057078,,-0.0354865121330997,True,True
75,75,300.0,105.0,0.6,0.511,-0.04252799555792272,-0.022888309276260784,,-0.036642586283535804,True,True
76,76,300.0,105.0,0.6,0.583,-0.04234361941998437,-0.022654818148985022,,-0.036482898552261236,True,True
77,77,300.0,105.0,0.6,0.6559999999999999,-0.04061490460141633,-0.021492069610200226,,-0.034981142948114795,True,True
78,78,300.0,105.0,0.6,0.728,-0.03704814781694354,-0.019242550162622784,,-0.031943256267808015,True,True
79,79,300.0,105.0,0.6,0.8,-0.032110107753311384,-0.01617688056895994,,-0.027765130761846283,True,True
80,80,310.0,100.0,0.25,0.15,-0.010226681227751167,0.0069820351082121165,,-0.0016960171968606838,True,True
81,81,310.0,100.0,0.25,0.222,-0.01637854007936674,0.017804881822780207,,0.0025180521930663192,True,True
82,82,310.0,100.0,0.25,0.294,-0.019231498896207934,0.02946922794255962,,0.009593273050436715,True,True
83,83,310.0,100.0,0.25,0.3670000000000001,-0.019546561639375487,0.039988547580904005,,0.017438673690240446,True,True
84,84,310.0,100.0,0.25,0.439,-0.018145290149894435,0.049499432709405815,,0.0257307712016771,True,True
85,85,310.0,100.0,0.25,0.511,-0.015405071015936014,0.05905953955773365,,0.03510080724391309,True,True
86,86,310.0,100.0,0.25,0.583,-0.011468933496487685,0.06942143262474608,,0.04605329972007845,True,True
87,87,310.0,100.0,0.25,0.6559999999999999,-0.006705321142389791,0.08054152585567363,,0.058269606130980325,True,True
88,88,310.0,100.0,0.25,0.728,-0.001316325684741387,0.09260994004568922,,0.07178542190901525,True,True
89,89,310.0,100.0,0.25,0.8,0.003746437570638347,0.10421533297128827,,0.0842228975382931,True,True
90,90,310.0,100.0,0.35,0.15,-0.006117475375835979,-0.00044785138674091244,,-0.004175393792699647,True,True
91,91,310.0,100.0,0.35,0.222,-0.010526720605825175,0.0006740539731281784,,-0.005362827117178961,True,True
92,92,310.0,100.0,0.35,0.294,-0.012966602767051142,0.003485031165672559,,-0.004437016268379358,True,True
93,93,310.0,100.0,0.35,0.3670000000000001,-0.013699729405446014,0.007763400548043149,,-0.0017095640479111494,True,True
94,94,310.0,100.0,0.35,0.439,-0.013192700279346667,0.012485358461197683,,0.0016098885332830894,True,True
95,95,310.0,100.0,0.35,0.511,-0.01171216153694337,0.017948396015465013,,0.005909281235345156,True,True
96,96,310.0,100.0,0.35,0.583,-0.009367182415627218,0.02445308726040493,,0.01130517686886075,True,True
97,97,310.0,100.0,0.35,0.6559999999999999,-0.006383195669898498,0.031791804087843406,,0.01756545798969853,True,True
98,98,310.0,100.0,0.35,0.728,-0.0028447764992793477,0.040035625281944424,,0.02463798289622905,True,True
99,99,310.0,100.0,0.35,0.8,0.00041243274545196205,0.047969079465140965,,0.03121170147383685,True,True
100,100,310.0,100.0,0.45,0.15,-0.009117620099286607,-0.004415164199525909,,-0.007924527045432223,True,True
101,101,310.0,100.0,0.45,0.222,-0.01588016819135759,-0.0076899014892880535,,-0.013622717199281124,True,True
102,102,310.0,100.0,0.45,0.294,-0.020036739582297316,-0.009551254231641595,,-0.016970148843020557,True,True
103,103,310.0,100.0,0.45,0.3670000000000001,-0.021786565973428887,-0.010057694745159966,,-0.01823840445883633,True,True
104,104,310.0,100.0,0.45,0.439,-0.02176902988804667,-0.009618737499771613,,-0.017943823252969792,True,True
105,105,310.0,100.0,0.45,0.511,-0.020304978865248745,-0.008360888632550103,,-0.01636122135959129,True,True
106,106,310.0,100.0,0.45,0.583,-0.018109460456528947,-0.005559613648048228,,-0.01355529047355442,True,True
107,107,310.0,100.0,0.45,0.6559999999999999,-0.01501252960935681,-0.0005473225964364685,,-0.009674278717755157,True,True
108,108,310.0,100.0,0.45,0.728,-0.011433279289716321,0.0056677959112038856,,-0.004724835505043439,True,True
109,109,310.0,100.0,0.45,0.8,-0.007810042308687415,0.011838351953220458,,0.0002370659243355904,True,True
110,110,310.0,100.0,0.6,0.15,-0.013621454349138022,-0.007515001955207368,,-0.011802476081244209,True,True
111,111,310.0,100.0,0.6,0.222,-0.024751114433896874,-0.013583838487070043,,-0.02144246512247544,True,True
112,112,310.0,100.0,0.6,0.294,-0.03303575934784102,-0.018028685501284093,,-0.028577332404174663,True,True
113,113,310.0,100.0,0.6,0.3670000000000001,-0.03826641833418413,-0.020776738528098027,,-0.03304022670711209,True,True
114,114,310.0,100.0,0.6,0.439,-0.041136826631238015,-0.022253571591057078,,-0.0354865121330997,True,True
115,115,310.0,100.0,0.6,0.511,-0.04252799555792272,-0.022888309276260784,,-0.036642586283535804,True,True
116,116,310.0,100.0,0.6,0.583,-0.04234361941998437,-0.022654818148985022,,-0.036482898552261236,True,True
117,117,310.0,100.0,0.6,0.6559999999999999,-0.04061490460141633,-0.021492069610200226,,-0.034981142948114795,True,True
118,118,310.0,100.0,0.6,0.728,-0.03704814781694354,-0.019242550162622784,,-0.031943256267808015,True,True
119,119,310.0,100.0,0.6,0.8,-0.032110107753311384,-0.01617688056895994,,-0.027765130761846283,True,True
120,120,310.0,105.0,0.25,0.15,-0.017518498073513213,-0.0005629858233712992,,-0.013264811376060507,True,True
121,121,310.0,105.0,0.25,0.222,-0.0349029465231648,-0.005660951827039947,,-0.028411882820320287,True,True
122,122,310.0,105.0,0.25,0.294,-0.05163208101002676,-0.012542625986167143,,-0.04322263212115403,True,True
123,123,310.0,105.0,0.25,0.3670000000000001,-0.06552803522385414,-0.019074001475125623,,-0.056038924285563535,True,True
124,124,310.0,105.0,0.25,0.439,-0.07830779380478674,-0.025321795329133027,,-0.06747864485608124,True,True
125,125,310.0,105.0,0.25,0.511,-0.09159068456901569,-0.03131307749494035,,-0.07908649708466621,True,True
126,126,310.0,105.0,0.25,0.583,-0.10595111830225852,-0.03790442222580024,,-0.09176388208534143,True,True
127,127,310.0,105.0,0.25,0.6559999999999999,-0.12149280104129194,-0.045084949742090805,,-0.10557780142580038,True,True
128,128,310.0,105.0,0.25,0.728,-0.13845176761498612,-0.0528736423923419,,-0.12072331654156016,True,True
129,129,310.0,105.0,0.25,0.8,-0.15418050633613672,-0.060014875700633075,,-0.13479724927122194,True,True
130,130,310.0,105.0,0.35,0.15,-0.010601166868695512,-0.0031699427548522304,,-0.00891994656238228,True,True
131,131,310.0,105.0,0.35,0.222,-0.02297773936371533,-0.0077547848057896406,,-0.019762397400481132,True,True
132,132,310.0,105.0,0.35,0.294,-0.03495054155319212,-0.01254316270468924,,-0.030442029705512182,True,True
133,133,310.0,105.0,0.35,0.3670000000000001,-0.04524286747856686,-0.016811891832464454,,-0.03963322030268246,True,True
134,134,310.0,105.0,0.35,0.439,-0.05431165635512081,-0.02057696536885883,,-0.047599098279696064,True,True
135,135,310.0,105.0,0.35,0.511,-0.06318946672954853,-0.0243702378563349,,-0.0554041303460357,True,True
136,136,310.0,105.0,0.35,0.583,-0.07272069734194993,-0.028479527163409925,,-0.06377547181550873,True,True
137,137,310.0,105.0,0.35,0.6559999999999999,-0.08295815050761883,-0.03296965769546085,,-0.07277105481261101,True,True
138,138,310.0,105.0,0.35,0.728,-0.0943880101035291,-0.03792175309231689,,-0.08281407892687716,True,True
139,139,310.0,105.0,0.35,0.8,-0.10518081589372978,-0.042583345131583204,,-0.09229968628830193,True,True
140,140,310.0,105.0,0.45,0.15,-0.012381035042103576,-0.006121819168122322,,-0.010660377338150749,True,True
141,141,310.0,105.0,0.45,0.222,-0.025195946345459037,-0.012862214225846384,,-0.021884997915905414,True,True
142,142,310.0,105.0,0.45,0.294,-0.03716329157022714,-0.01914918377725054,,-0.03212107409412733,True,True
143,143,310.0,105.0,0.45,0.3670000000000001,-0.04705566733925609,-0.024331875254651678,,-0.04045415507333172,True,True
144,144,310.0,105.0,0.45,0.439,-0.055517851732990724,-0.02874410529181451,,-0.04744030992191662,True,True
145,145,310.0,105.0,0.45,0.511,-0.06378015935456431,-0.03288512098724652,,-0.05415705642879263,True,True
146,146,310.0,105.0,0.45,0.583,-0.07266286677963424,-0.03726298846017905,,-0.06129574601349778,True,True
147,147,310.0,105.0,0.45,0.6559999999999999,-0.08262042735263929,-0.04209897564395135,,-0.06924496904242024,True,True
148,148,310.0,105.0,0.45,0.728,-0.09378435412848835,-0.04749246443264494,,-0.07812624893845528,True,True
149,149,310.0,105.0,0.45,0.8,-0.1048528964303616,-0.052855041373726465,,-0.08692149529051729,True,True
150,150,310.0,105.0,0.6,0.15,-0.014610080560686207,-0.008757269375268968,,-0.012715643591705407,True,True
151,151,310.0,105.0,0.6,0.222,-0.027742616141356667,-0.01729719723157573,,-0.024205123673824654,True,True
152,152,310.0,105.0,0.6,0.294,-0.03862318061941714,-0.02498015616808872,,-0.03378100639173976,True,True
153,153,310.0,105.0,0.6,0.3670000000000001,-0.04666947914633278,-0.031270297715039544,,-0.04092249257119844,True,True
154,154,310.0,105.0,0.6,0.439,-0.05277557359223809,-0.036671966374040126,,-0.04634022762376156,True,True
155,155,310.0,105.0,0.6,0.511,-0.058876177856926296,-0.04159508066913201,,-0.05129618078097768,True,True
156,156,310.0,105.0,0.6,0.583,-0.06532271548187263,-0.045007391260521175,,-0.05628878576942326,True,True
157,157,310.0,105.0,0.6,0.6559999999999999,-0.07274334958013189,-0.0484956691989415,,-0.061883128255699416,True,True
158,158,310.0,105.0,0.6,0.728,-0.08262964961481642,-0.05274668968173034,,-0.06916316938059873,True,True
159,159,310.0,105.0,0.6,0.8,-0.09400288242252987,-0.05731861510096251,,-0.07739680654764018,True,True
