,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv
122,122,122,310.0,105.0,0.25,0.294,-0.05831766219707126,0.011442857716833427,,-0.04322263212115403
123,123,123,310.0,105.0,0.25,0.3670000000000001,-0.07167333870980362,0.010466098976318929,,-0.056038924285563535
124,124,124,310.0,105.0,0.25,0.439,-0.08300361143464095,0.00792821668010647,,-0.06747864485608124
125,125,125,310.0,105.0,0.25,0.511,-0.09759132982031067,0.004050533525273335,,-0.07908649708466621
126,126,126,310.0,105.0,0.25,0.583,-0.11325719285221152,-0.001073826364914118,,-0.09176388208534143
127,127,127,310.0,105.0,0.25,0.6559999999999999,-0.13133765608035156,-0.004139211231347664,,-0.10557780142580038
128,128,128,310.0,105.0,0.25,0.728,-0.15141902647203753,-0.006618261439837047,,-0.12072331654156016
129,129,129,310.0,105.0,0.25,0.8,-0.17005940523672955,-0.008825194343275968,,-0.13479724927122194
130,130,130,310.0,105.0,0.35,0.15,-0.011858240481823684,-0.00031265997805149625,,-0.00891994656238228
131,131,131,310.0,105.0,0.35,0.222,-0.02520646724231278,-0.0018967156917338074,,-0.019762397400481132
132,132,132,310.0,105.0,0.35,0.294,-0.037627160601320264,-0.004049666003661927,,-0.030442029705512182
133,133,133,310.0,105.0,0.35,0.3670000000000001,-0.047784500443127854,-0.006453992988644205,,-0.03963322030268246
134,134,134,310.0,105.0,0.35,0.439,-0.056304658574889276,-0.008976506043319784,,-0.047599098279696064
135,135,135,310.0,105.0,0.35,0.511,-0.06573310531603141,-0.010930600771052214,,-0.0554041303460357
136,136,136,310.0,105.0,0.35,0.583,-0.07580346554463664,-0.013074263155954766,,-0.06377547181550873
137,137,137,310.0,105.0,0.35,0.6559999999999999,-0.08685195224032842,-0.01539372923310901,,-0.07277105481261101
138,138,138,310.0,105.0,0.35,0.728,-0.098950227197267,-0.017941771453341016,,-0.08281407892687716
139,139,139,310.0,105.0,0.35,0.8,-0.11049919722630475,-0.020328865490302505,,-0.09229968628830193
140,140,140,310.0,105.0,0.45,0.15,-0.012750065739821802,-0.004001607456755443,,-0.010660377338150749
141,141,141,310.0,105.0,0.45,0.222,-0.026153240782335392,-0.008759996967940649,,-0.021884997915905414
142,142,142,310.0,105.0,0.45,0.294,-0.038440752334203084,-0.013428376997591755,,-0.03212107409412733
143,143,143,310.0,105.0,0.45,0.3670000000000001,-0.04847453987047346,-0.01745782075111993,,-0.04045415507333172
144,144,144,310.0,105.0,0.45,0.439,-0.05695315562176404,-0.021111767165100558,,-0.04744030992191662
145,145,145,310.0,105.0,0.45,0.511,-0.06564726046858838,-0.02487074819143586,,-0.05415705642879263
146,146,146,310.0,105.0,0.45,0.583,-0.07507660644135136,-0.02905364370700738,,-0.06129574601349778
147,147,147,310.0,105.0,0.45,0.6559999999999999,-0.08570406032767275,-0.033831386758176964,,-0.06924496904242024
148,148,148,310.0,105.0,0.45,0.728,-0.09778757268299956,-0.03925253704296341,,-0.07812624893845528
149,149,149,310.0,105.0,0.45,0.8,-0.10972266595460117,-0.044666738128491035,,-0.08692149529051729
150,150,150,310.0,105.0,0.6,0.15,-0.015240944372299798,-0.006449013091746849,,-0.012715643591705407
151,151,151,310.0,105.0,0.6,0.222,-0.028995311993839843,-0.012640276506873738,,-0.024205123673824654
152,152,152,310.0,105.0,0.6,0.294,-0.04043504761855831,-0.0180242483671202,,-0.03378100639173976
153,153,153,310.0,105.0,0.6,0.3670000000000001,-0.0489313343496966,-0.02221613185016793,,-0.04092249257119844
154,154,154,310.0,105.0,0.6,0.439,-0.05532624972549615,-0.0256774401965645,,-0.04634022762376156
155,155,155,310.0,105.0,0.6,0.511,-0.06113679359703086,-0.029050422733604184,,-0.05129618078097768
156,156,156,310.0,105.0,0.6,0.583,-0.06723642911816055,-0.03274827456456311,,-0.05628878576942326
157,157,157,310.0,105.0,0.6,0.6559999999999999,-0.0749403879994006,-0.03718816420314871,,-0.061883128255699416
158,158,158,310.0,105.0,0.6,0.728,-0.08523148857340733,-0.04310958924628586,,-0.06916316938059873
159,159,159,310.0,105.0,0.6,0.8,-0.09708723974689065,-0.049977556149467216,,-0.07739680654764018
